File #,Staff Report link,Ver.,Agenda #,Agenda Note,Type,Title,Action,Result,Action Details,Video
201270,LegislationDetail.aspx?ID=5006371&GUID=8B361A61-0F15-4E18-B999-7B8901316075&Options=&Search=,,1.1,,Information Only,Mountain View Bicycle/Pedestrian Advisory Committee (MV B/PAC),,,Not available,
201271,LegislationDetail.aspx?ID=5006372&GUID=849D3B31-C16F-4DF9-B575-BA7BCA9B3D42&Options=&Search=,,1.2,,Information Only,Palo Alto Pedestrian and Bicycle Advisory Committee (PA PABAC),,,Not available,
201272,LegislationDetail.aspx?ID=5006373&GUID=1449E5C1-6AE8-4F70-845C-8A327B6895F5&Options=&Search=,,2.1,,Information Only,MV B/PAC,,,Not available,
201273,LegislationDetail.aspx?ID=5006374&GUID=F419DF07-8CE1-4C4F-8416-53C844DBBA4A&Options=&Search=,,2.2,,Information Only,PA PABAC,,,Not available,
201056,LegislationDetail.aspx?ID=4970153&GUID=8F166529-557A-4F51-BA72-C69C37C4D279&Options=&Search=,,4.1,,Minutes Approval,Minutes Approval,,,Not available,
201057,LegislationDetail.aspx?ID=4970154&GUID=4DF3415E-AC1B-41A4-B3E7-E7C074EF62EC&Options=&Search=,,4.2,,Minutes Approval,Minutes Approval,,,Not available,
201061,LegislationDetail.aspx?ID=4987188&GUID=C0210DFD-977E-4B1E-800F-BA7030430434&Options=&Search=,,6.1,,New Business,Orientation to Mountain View B/PAC and Palo Alto PABAC,,,Not available,
201058,LegislationDetail.aspx?ID=4995276&GUID=AF6B4CF5-31F7-4B54-951E-BA538C846621&Options=&Search=,,6.2,,New Business,Pedestrian and Bicycle Issues that Cross City Borders,,,Not available,
201060,LegislationDetail.aspx?ID=4970155&GUID=68DD556A-1EF5-4C09-8166-45034E1D531E&Options=&Search=,,6.3,,New Business,Santa Clara Valley Transportation Agency (VTA) Bicycle & Pedestrian Advisory Committee (BPAC) Update,,,Not available,
201274,LegislationDetail.aspx?ID=5006375&GUID=EFE50D4B-08E9-42B5-B285-F355C3153DE8&Options=&Search=,,7.1,,Information Only,Mountain View Staff Comments,,,Not available,
201275,LegislationDetail.aspx?ID=5006376&GUID=528088FF-17CC-4CBA-AA43-92FC1CACFB15&Options=&Search=,,7.2,,Information Only,Palo Alto Staff Comments,,,Not available,
201276,LegislationDetail.aspx?ID=5006377&GUID=616FA4A8-0992-49E8-BFB5-A938F1EB7445&Options=&Search=,,7.3,,Information Only,Mountain View B/PAC Comments,,,Not available,
201277,LegislationDetail.aspx?ID=5006378&GUID=4DE57A07-3E04-48DC-8E71-1A492711EE6F&Options=&Search=,,7.4,,Information Only,Palo Alto PABAC Comments,,,Not available,
Please note: this meeting's minutes have not been finalized yet. Actions taken on legislation and their results are not available.  Details  Meeting Name:  Bicycle/Pedestrian Advisory Committee  Agenda status:  Final  Meeting date/time:  6/30/2021  6:30 PM  Minutes status:  Draft  Meeting location:  Video Conference with No Physical Meeting LocationSPECIAL JOINT MEETING WITH PALO ALTO PEDESTRIAN AND BICYCLE ADVISORY COMMITTEE (PABAC)  Published agenda:  Agenda  Published minutes:  Not available  Meeting video:  Not available  Attachments:  Meeting Items (13)  13 recordsGroup  Clear sortingClear groupingGroup by TypeGroup by Result  Export  Export to ExcelExport to PDFExport to Word  Show: Legislation only  Legislation onlyAll agenda items  File #Agenda #TypeTitleActionAction DetailsMedia Column  201270  1.1Information OnlyMountain View Bicycle/Pedestrian Advisory Committee (MV B/PAC) Not available  Not available  201271  1.2Information OnlyPalo Alto Pedestrian and Bicycle Advisory Committee (PA PABAC) Not available  Not available  201272  2.1Information OnlyMV B/PAC Not available  Not available  201273  2.2Information OnlyPA PABAC Not available  Not available  201056  4.1Minutes ApprovalMinutes Approval Not available  Not available  201057  4.2Minutes ApprovalMinutes Approval Not available  Not available  201061  6.1New BusinessOrientation to Mountain View B/PAC and Palo Alto PABAC Not available  Not available  201058  6.2New BusinessPedestrian and Bicycle Issues that Cross City Borders Not available  Not available  201060  6.3New BusinessSanta Clara Valley Transportation Agency (VTA) Bicycle & Pedestrian Advisory Committee (BPAC) Update Not available  Not available  201274  7.1Information OnlyMountain View Staff Comments Not available  Not available  201275  7.2Information OnlyPalo Alto Staff Comments Not available  Not available  201276  7.3Information OnlyMountain View B/PAC Comments Not available  Not available  201277  7.4Information OnlyPalo Alto PABAC Comments Not available  Not available,Error,,,,,,,,,
