File #,Staff Report link,Ver.,Agenda #,Agenda Note,Type,Title,Action,Result,Action Details,Video
201034,LegislationDetail.aspx?ID=4991155&GUID=00DEC1BB-9495-4EFA-855C-6DD82F86800C&Options=&Search=,,2.1,,Closed Session,"Conference with Real Property Negotiators (Government Code Â§54956.8)-Property: City Lot 12 (917-941 California Street and 424-468 Bryant Street), APN 158-11-033 through APN 158-11-038, 158-11-060, 158-11-033, and 158-11-055; Agency Negotiator: Aarti Shrivastava, Community Development Director; Wayne Chen, Assistant Community Development Director; Angela LaMonica, Real Property Program Manager; Libby Seifel, Consultant; Sue Bloch, Counsel; Negotiating Parties: For Related/Alta Housing (Developer), Andrew Schorfhaar, Ann Silverberg, Randy Tsuda; Under Negotiation: Price and Terms of Payment for Lease Development, Disposition and Ground Lease Agreement",,,Not available,
201193,LegislationDetail.aspx?ID=4991170&GUID=B8195FF8-F192-4C81-B89D-1ABEDADBAD9C&Options=&Search=,,2.2,,Closed Session,"Conference with Real Property Negotiators (Government Code Â§54956.8)-Property: 525 Hans Ave. (Bubb Elementary School); 1701 Rock St. (Crittenden Middle School); 115 W. Dana St. (Landels Elementary School); 253 Martens Ave. (Huff Elementary School); 1175 Castro St. (Graham Middle School); 505 Escuela Ave. (Mistral Elementary School); 500 Toft St. (Castro Elementary School); 460 Thompson Ave. (Monta Loma Elementary School); 740 San Pierre Way (Stevenson Elementary School); 1625 San Luis Ave. (Theuerkauf Elementary School); 220 N. Whisman Rd. (Vargas Elementary School); 333 Eunice Ave. (Cooper Park); 310 Easy St. (Whisman Park); Agency Negotiator: Kimbra McCarthy, City Manager; John Marchant, Community Services Director; Negotiating Parties: For Mountain View Whisman School District, Ayinde Rudolph, Rebecca Westover, Phil Henderson; Under Negotiation: Price and Terms of Payment for Joint Use of Property Agreement",,,Not available,
201252,LegislationDetail.aspx?ID=4991182&GUID=69E759AA-6B96-439C-A5EC-F3CB30D62876&Options=&Search=,,3.1,,Presentation,Legislative Update by State Senator Josh Becker,,,Not available,
201145,LegislationDetail.aspx?ID=4991165&GUID=B4585839-D218-49D3-8AFE-CA50114C72F3&Options=&Search=,,3.2,,Presentation,Park and Recreation Month Proclamation,,,Not available,
201223,LegislationDetail.aspx?ID=4991176&GUID=DDDA55E7-3BEA-465C-A3BF-77F255B60A24&Options=&Search=,,3.3,,Presentation,Immigrant Heritage Month Proclamation,,,Not available,
201092,LegislationDetail.aspx?ID=4991156&GUID=C15DF68D-DF7A-4FB2-B278-D1419FFC348A&Options=&Search=,,3.4,,Presentation,Non-Binary People Day Proclamation,,,Not available,
200964,LegislationDetail.aspx?ID=4991150&GUID=DD932487-39BB-4FED-9FED-E9F146689EA3&Options=&Search=,,3.5,,Presentation,COVID-19 Update by City Manager Kimbra McCarthy,,,Not available,
201247,LegislationDetail.aspx?ID=4991180&GUID=BA3B892E-041C-4B44-B9B6-5A7F724EE104&Options=&Search=,,4.1,,Consent Calendar,Approve Minutes,,,Not available,
201250,LegislationDetail.aspx?ID=4991181&GUID=DA85380A-32C9-47E2-8EFA-34C57CB8075A&Options=&Search=,,4.2,,Consent Calendar,Urgency Ordinance Extending Residential Eviction Protections,,,Not available,
200278,LegislationDetail.aspx?ID=4991143&GUID=147AFB9C-5213-49BA-A25E-E9D484561DD8&Options=&Search=,,4.3,,Consent Calendar,San Francisco Water Supply Agreement Amendment and Minimum Purchase Transfer to the City of East Palo Alto,,,Not available,
200849,LegislationDetail.aspx?ID=4991148&GUID=858B1CAC-B4E8-459A-8406-F111023117EC&Options=&Search=,,4.4,,Consent Calendar,Recommended Fiscal Year 2021-22 through Fiscal Year 2025-26 Capital Improvement Program,,,Not available,
201182,LegislationDetail.aspx?ID=4991168&GUID=0D3707E8-1817-4647-97D9-A8990DA58B55&Options=&Search=,,4.5,,Consent Calendar,Updates to Council Policy A-15 - Ticket Distribution Policy,,,Not available,
201224,LegislationDetail.aspx?ID=4991177&GUID=6980CDAD-8FB2-4644-8AD6-7AD7AC56931D&Options=&Search=,,4.6,,Consent Calendar,"Amend Council Policy K-2, Council Advisory Bodies",,,Not available,
200280,LegislationDetail.aspx?ID=4991144&GUID=38B5EE2D-4F47-4C9C-BB09-E998AA84C605&Options=&Search=,,4.7,,Consent Calendar,Neighborhood Traffic Management Program Revisions,,,Not available,
200913,LegislationDetail.aspx?ID=4991149&GUID=DC91667A-385F-4892-9013-9542FD08099A&Options=&Search=,,4.8,,Consent Calendar,Appointments to the Youth Advisory Committee for the 2021-22 School Year Term,,,Not available,
201028,LegislationDetail.aspx?ID=4991154&GUID=E4AF795A-A2DE-4F3F-ADB1-8CE315DC7C90&Options=&Search=,,4.9,,Consent Calendar,"Rengstorff Park-Aquatics Center Replacement, Design, Project 18-38-Authorize Advertising for Responsible Bidders and Approve Public Art",,,Not available,
201105,LegislationDetail.aspx?ID=4991157&GUID=639A9B5D-F77C-434E-8100-BA8E9DAF9071&Options=&Search=,,4.10,,Consent Calendar,"Calderon Avenue Bike Lanes, Mercy Street to El Camino Real, Project 20-47 - Approve Plans and Specifications and Authorize Bidding",,,Not available,
201119,LegislationDetail.aspx?ID=4991158&GUID=BEFDC548-20C6-40C7-86B8-F6ED3A23A7AD&Options=&Search=,,4.11,,Consent Calendar,"Interceptor Force Trunk Main Rehabilitation, Project 20-42-Various Actions",,,Not available,
201120,LegislationDetail.aspx?ID=4991159&GUID=6E544682-1361-4E42-920B-5D7BCEC5E4AE&Options=&Search=,,4.12,,Consent Calendar,"Sailing Lake Access Road Improvement, Construction, Project 21-53-Various Actions",,,Not available,
201121,LegislationDetail.aspx?ID=4991160&GUID=5976F9E8-3874-4FE1-AB3C-61B7CC884AD3&Options=&Search=,,4.13,,Consent Calendar,"Well Abandonments 10, 17, and 20, Project 19-39 - Approve Plans and Specifications and Authorize Bidding",,,Not available,
201122,LegislationDetail.aspx?ID=4991161&GUID=5DB68A5C-557B-42E9-B956-FAB9E931F72B&Options=&Search=,,4.14,,Consent Calendar,"Whisman Pump Station Engineering Study, Project 21-55-Authorize Professional Services Agreement",,,Not available,
201123,LegislationDetail.aspx?ID=4991162&GUID=76B252C4-26C8-4663-BF6D-559F6618B8BF&Options=&Search=,,4.15,,Consent Calendar,"Engineering Services Contract with Telstar Instruments, Inc.",,,Not available,
201138,LegislationDetail.aspx?ID=4991163&GUID=9F5E9A46-B514-42B5-8440-4110F8B9AE4B&Options=&Search=,,4.16,,Consent Calendar,Santa Clara County Multi-Jurisdictional Program for Public Information 2021 Regarding Flood Risk,,,Not available,
201141,LegislationDetail.aspx?ID=4991164&GUID=382474E6-17E7-4B67-9185-CC9592D7202B&Options=&Search=,,4.17,,Consent Calendar,"Assignment of 750 Moffett Boulevard Office Ground Lease with MV 101 Development, LLC",,,Not available,
201179,LegislationDetail.aspx?ID=4991166&GUID=D5DEFDA0-800B-4930-8C9D-E72F5C9392DC&Options=&Search=,,4.18,,Consent Calendar,500 Ferguson Drive - Accept Public Improvements,,,Not available,
201180,LegislationDetail.aspx?ID=4991167&GUID=46ADE483-D3DC-4B48-B7C5-4F9FEC81B346&Options=&Search=,,4.19,,Consent Calendar,"Developer Reimbursements, Projects 20-11 and 21-11-Amend Developer Reimbursement Agreement",,,Not available,
201191,LegislationDetail.aspx?ID=4991169&GUID=C5920FE8-1CB3-44AF-85B4-4C79A9598F21&Options=&Search=,,4.20,,Consent Calendar,"Amend Professional Design Services Contract with Aetypic, Inc., for Planned and Emergency Facilities, Project 19-18",,,Not available,
201203,LegislationDetail.aspx?ID=4991171&GUID=A1749146-1413-427E-8AA9-8A324152D49F&Options=&Search=,,4.21,,Consent Calendar,"Amend Professional Services Agreement with CSG Consultants, Inc., for Construction Engineering Services",,,Not available,
201211,LegislationDetail.aspx?ID=4991172&GUID=8426F732-AE40-4B05-A1A9-DC8F701CD1CB&Options=&Search=,,4.22,,Consent Calendar,Final 2018 and Preliminary 2019 Community Greenhouse Gas Inventories,,,Not available,
201212,LegislationDetail.aspx?ID=4991173&GUID=8C478E87-73FD-43AA-B533-8869EF6393F8&Options=&Search=,,4.23,,Consent Calendar,Newspaper Advertising Bid Award,,,Not available,
201216,LegislationDetail.aspx?ID=4991174&GUID=2CE1B20B-FA09-4EFB-9B51-D691AE6225F8&Options=&Search=,,4.24,,Consent Calendar,Appropriation of Cable Television Funds for Council Chambers Improvements,,,Not available,
201221,LegislationDetail.aspx?ID=4991175&GUID=77219A9C-1440-4B21-A73B-16AF1F844219&Options=&Search=,,4.25,,Consent Calendar,Charleston Transit Boulevard-Temporary Bus Lanes,,,Not available,
201227,LegislationDetail.aspx?ID=4991178&GUID=6529CE24-5B27-4DF2-A5B3-F7513B55A398&Options=&Search=,,4.26,,Consent Calendar,Update on Termination of Local State of Emergency Caused by COVID-19 and Impacts on City Operations,,,Not available,
201235,LegislationDetail.aspx?ID=4991179&GUID=CB909D24-1449-4D38-99EF-C9737EF371B5&Options=&Search=,,4.27,,Consent Calendar,Extension of Castro Street Closure and Outdoor Mountain View! Program,,,Not available,
