File #,Staff Report link,Ver.,Agenda #,Agenda Note,Type,Title,Action,Result,Action Details,Video
201248,LegislationDetail.aspx?ID=4984522&GUID=CDB3B219-E152-4C33-A676-E8DC05C49324&Options=&Search=,,3.1,,Minutes Approval,Approval of Minutes,,,Not available,
200796,LegislationDetail.aspx?ID=4955429&GUID=1538BF92-F5FA-4768-85EF-8931780E19D4&Options=&Search=,,5.1,,Unfinished Business,Mountain View Film Festival,,,Not available,
200826,LegislationDetail.aspx?ID=4955430&GUID=77B6235F-E82B-4BA2-9EA0-E85DE4A2869A&Options=&Search=,,5.2,,Unfinished Business,Art for Youth,,,Not available,
201163,LegislationDetail.aspx?ID=4955433&GUID=1AA2D7E4-03C1-411D-ABC6-01752F3005C3&Options=&Search=,,5.3,,Unfinished Business,PAC Member Photo,,,Not available,
200835,LegislationDetail.aspx?ID=4964644&GUID=BEEB3D4F-AB3E-4387-A1F0-B5E04DFBB56C&Options=&Search=,,6.1,,New Business,Brown Act Overview by City Attorney's Office,,,Not available,
201161,LegislationDetail.aspx?ID=4955431&GUID=0B1C2972-DF4E-4A99-85AC-60C9FF14706A&Options=&Search=,,6.2,,New Business,Work Plan for FY 21-22,,,Not available,
201162,LegislationDetail.aspx?ID=4955432&GUID=E6A24848-1CCD-4811-9774-346140588C6D&Options=&Search=,,6.3,,New Business,Home Company Search,,,Not available,
201184,LegislationDetail.aspx?ID=4984521&GUID=6F1A6412-664E-49FF-959A-6B71CF00EECD&Options=&Search=,,6.4,,New Business,Poet Laureate,,,Not available,
200787,LegislationDetail.aspx?ID=4955428&GUID=B7109FCF-27C7-420E-BD4D-CC0DD6BCE9E8&Options=&Search=,,7.1,,Information Only,PAC Revenue and Expense Spreadsheet,,,Not available,
Please note: this meeting's minutes have not been finalized yet. Actions taken on legislation and their results are not available.  Details  Meeting Name:  Performing Arts Committee  Agenda status:  Final  Meeting date/time:  6/16/2021  6:15 PM  Minutes status:  Draft  Meeting location:  Video Conference with No Physical Meeting Location  Published agenda:  Agenda  Published minutes:  Not available  Meeting video:  Not available  Attachments:  Meeting Items (9)  9 recordsGroup  Clear sortingClear groupingGroup by TypeGroup by Result  Export  Export to ExcelExport to PDFExport to Word  Show: Legislation only  Legislation onlyAll agenda items  File #Agenda #TypeTitleActionAction DetailsMedia Column  201248  3.1Minutes ApprovalApproval of Minutes Not available  Not available  200796  5.1Unfinished BusinessMountain View Film Festival Not available  Not available  200826  5.2Unfinished BusinessArt for Youth Not available  Not available  201163  5.3Unfinished BusinessPAC Member Photo Not available  Not available  200835  6.1New BusinessBrown Act Overview by City Attorney's Office Not available  Not available  201161  6.2New BusinessWork Plan for FY 21-22 Not available  Not available  201162  6.3New BusinessHome Company Search Not available  Not available  201184  6.4New BusinessPoet Laureate Not available  Not available  200787  7.1Information OnlyPAC Revenue and Expense Spreadsheet Not available  Not available,Error,,,,,,,,,
