keywords,score,method,filename
juneteenth national independence day act making juneteenth,39.714285714285715,rake,SanJose14.pdf
african americans make every day towards,31.833333333333332,rake,SanJose14.pdf
san josé currently observes 14 holidays,31.5,rake,SanJose14.pdf
recommendation outcome background analysis coordination cost implications,30.5,rake,SanJose14.pdf
climate smart san josé energy,24.5,rake,SanJose14.pdf
important step towards recognizing structural,23.25,rake,SanJose14.pdf
eligible city employees effective june 19,22.116666666666667,rake,SanJose14.pdf
background juneteenth — also known,20.523809523809526,rake,SanJose14.pdf
city applies racial equity practices,19.95,rake,SanJose14.pdf
observed holiday effective june 19,18.5,rake,SanJose14.pdf
climate smart san jose,18.0,rake,SanJose14.pdf
HOLIDAY EFFECTIVE JUNE,0.003162433701319086,yake,SanJose14.pdf
CITY,0.005523737664559172,yake,SanJose14.pdf
CITY-OBSERVED HOLIDAY EFFECTIVE,0.005641086475113306,yake,SanJose14.pdf
CITY COUNCIL August,0.007302807679377731,yake,SanJose14.pdf
EFFECTIVE JUNE,0.007641779452815668,yake,SanJose14.pdf
CITY COUNCIL,0.00931653594708125,yake,SanJose14.pdf
CITY-OBSERVED HOLIDAY,0.009923990891849628,yake,SanJose14.pdf
eligible City employees,0.009964784216318554,yake,SanJose14.pdf
City Manager,0.012660361896028793,yake,SanJose14.pdf
City employees,0.013245307741345294,yake,SanJose14.pdf
JUNETEENTH,0.01658715147030241,yake,SanJose14.pdf
JUNE,0.016975766804332087,yake,SanJose14.pdf
City employees effective,0.017209401121774447,yake,SanJose14.pdf
CITY COUNCIL SUBJECT,0.017602503136763883,yake,SanJose14.pdf
employees effective June,0.017662549918792552,yake,SanJose14.pdf
HOLIDAY,0.017889224797967986,yake,SanJose14.pdf
HOLIDAY EFFECTIVE,0.01935766903247222,yake,SanJose14.pdf
paid City-observed holiday,0.021314432376162592,yake,SanJose14.pdf
paid City holiday,0.02284604788539353,yake,SanJose14.pdf
eligible City,0.02449594244321178,yake,SanJose14.pdf
musical event naturally encourages active vocal participation — yelling,74.75,rake,SanJose15.pdf
serious illness show even greater disparities,36.0,rake,SanJose15.pdf
cases appear concentrated among adults,23.166666666666668,rake,SanJose15.pdf
unvaccinated appear three times higher,22.333333333333336,rake,SanJose15.pdf
escalating infection rates — rising,21.25,rake,SanJose15.pdf
vaccine mandate page 2 100,19.666666666666668,rake,SanJose15.pdf
6 per https :// public,19.0,rake,SanJose15.pdf
activities naturally increases risk,18.5,rake,SanJose15.pdf
last two weeks —,17.25,rake,SanJose15.pdf
Sam Liccardo SUBJECT,0.0014300485270625342,yake,SanJose15.pdf
Mayor Sam Liccardo,0.001569085407366015,yake,SanJose15.pdf
FILE NUMBER,0.0038283947661823248,yake,SanJose15.pdf
Sam Liccardo,0.004277551433771052,yake,SanJose15.pdf
VACCINE MANDATE DATE,0.007677461933675419,yake,SanJose15.pdf
CITY COUNCIL August,0.012997231602493466,yake,SanJose15.pdf
COUNCIL AGENDA,0.013514182666755985,yake,SanJose15.pdf
Liccardo SUBJECT,0.021408697348231857,yake,SanJose15.pdf
MANDATE DATE,0.022312502917974566,yake,SanJose15.pdf
CITY COUNCIL,0.023235878942533664,yake,SanJose15.pdf
Mayor Sam,0.02344733933819914,yake,SanJose15.pdf
San José,0.025579095387810485,yake,SanJose15.pdf
Convention Center,0.031189312668386905,yake,SanJose15.pdf
DATE,0.03245012287614766,yake,SanJose15.pdf
SAP Arena,0.03768174471872055,yake,SanJose15.pdf
Performing Arts,0.03768174471872055,yake,SanJose15.pdf
CITY,0.04113488133001982,yake,SanJose15.pdf
Vaccine Mandate Page,0.05334996092617484,yake,SanJose15.pdf
COUNCIL,0.0539785661779367,yake,SanJose15.pdf
rates,0.05703341245205633,yake,SanJose15.pdf
supportive retail spaces along west san carlos street,47.77155172413793,rake,SanJose16.pdf
commercial businesses along west san carlos street,38.04932950191571,rake,SanJose16.pdf
mat slab foundations cause lower vibration levels,37.08532272325375,rake,SanJose16.pdf
1530 west san carlos street would remain,34.729885057471265,rake,SanJose16.pdf
envision san josé 2040 general plan policies,33.580762250453716,rake,SanJose16.pdf
west san carlos urban village plan would,33.35933367902515,rake,SanJose16.pdf
project – existing land use designation alternative 3,33.30391414141414,rake,SanJose16.pdf
normal conventional construction located within 30 feet,33.30138888888889,rake,SanJose16.pdf
west san carlos urban village design guidelines,32.95012315270936,rake,SanJose16.pdf
drawings – prepare sketch floor plans,32.7,rake,SanJose16.pdf
located along west san carlos street,32.52155172413793,rake,SanJose16.pdf
west san carlos street project frontage,31.788218390804595,rake,SanJose16.pdf
national register photo policy fact sheet,31.333333333333336,rake,SanJose16.pdf
project construction would generate vibration levels reaching,30.806156056587092,rake,SanJose16.pdf
use project significant environmental impacts air quality impact,29.810035505430243,rake,SanJose16.pdf
retail uses placed within walking distance,29.72222222222222,rake,SanJose16.pdf
west san carlos urban village plan,29.634333679025147,rake,SanJose16.pdf
envision san josé 2040 general plan,29.580762250453716,rake,SanJose16.pdf
project – existing land use designation alternative,29.52613636363636,rake,SanJose16.pdf
proposed west san carlos street mixed,29.39059934318555,rake,SanJose16.pdf
project applicant shall offer financial assistance,28.76327913279133,rake,SanJose16.pdf
6 per million increased cancer lifetime risk,28.65833333333333,rake,SanJose16.pdf
design alternative would also meet objective 4,28.23030303030303,rake,SanJose16.pdf
placing complementary land uses like residential,28.083333333333332,rake,SanJose16.pdf
maximum increased cumulative lifetime cancer risks,27.75,rake,SanJose16.pdf
activating west san carlos street,27.27155172413793,rake,SanJose16.pdf
1544 west san carlos street,27.27155172413793,rake,SanJose16.pdf
building 1 would include 79 residential units,27.00886809269162,rake,SanJose16.pdf
existing cp commercial pedestrian zoning district,26.944444444444443,rake,SanJose16.pdf
1530 west san carlos street,26.604885057471265,rake,SanJose16.pdf
certified level 3 diesel particulate filters,26.27777777777778,rake,SanJose16.pdf
west san carlos urban village,25.95012315270936,rake,SanJose16.pdf
west san carlos street mixed,25.557266009852214,rake,SanJose16.pdf
three commercial buildings totaling approximately 7,25.444444444444443,rake,SanJose16.pdf
originally proposed planned development rezoning would,25.39166666666667,rake,SanJose16.pdf
project would provide 173 dwelling units,25.274134199134203,rake,SanJose16.pdf
making certain findings concerning significant impacts,25.12531328320802,rake,SanJose16.pdf
carbon chain total petroleum hydrocarbons,25.0,rake,SanJose16.pdf
923 square feet less common space,24.879761904761907,rake,SanJose16.pdf
200 east santa clara street,24.75,rake,SanJose16.pdf
proposed project could expose construction workers,24.662499999999998,rake,SanJose16.pdf
cmc city clerk draft -- contact,24.65,rake,SanJose16.pdf
maximum increased lifetime cancer risks,24.5,rake,SanJose16.pdf
written data – habs written documentation,24.35238095238095,rake,SanJose16.pdf
